customerNumber,customerName,contactFirstName,contactLastName,phone,addressLine1,city,state,country,creditLimit,customerSegment
10000,Jordan Group,Blake,Brooks,848.390.3284,961 Jeffrey Ridges Suite 449,Mendozaborough,DC,Philippines,56847.04,Mid-Market
10001,"Thompson, Carrillo and Moore",Scott,Clark,291-254-4856x7980,715 Shawn Plain,New Bryan,KS,Vanuatu,24024.08,SMB
10002,Soto Group,Janice,Lucas,(350)858-1791x8627,129 Lisa Valley,Lambertside,NM,Montserrat,55538.48,Enterprise
10003,"Johnston, Ramirez and Vega",Christopher,Allen,889-989-2924,8511 Juarez Trace Apt. 216,Sandersshire,MI,Moldova,183533.81,Individual
10004,Moss Inc,Christina,Smith,475-355-9778x94933,40059 Lance Track,East Frank,WA,Croatia,66830.97,SMB
10005,Wood PLC,Jessica,Mullins,001-575-943-1377x3534,09935 Sara Trace Apt. 300,Powellside,ME,Vanuatu,74875.64,Enterprise
10006,Donovan PLC,Donald,Dillon,+1-395-332-3194x9788,702 Brent Island Suite 085,Barnetthaven,MI,Malawi,57858.38,Enterprise
10007,Morris-Sellers,Michael,Brown,590-865-3173x98146,16207 Danny Route Apt. 895,Kylestad,CT,Iceland,150047.25,Individual
10008,Aguilar-Smith,Stephanie,Delgado,(538)527-9284x6231,88337 Elizabeth Spurs,Bakerchester,OK,Peru,110278.24,Enterprise
10009,Sharp-Hester,Robert,Strickland,3844073983,1167 Erickson Forks Suite 108,Johnton,,Papua New Guinea,216338.25,Enterprise
10010,Herring-Crawford,Ronald,Moore,001-565-623-1998x214,07815 Melissa Stravenue Apt. 490,North Sarahville,OH,Senegal,147114.04,Individual
10011,"Baxter, Hubbard and Sweeney",Zachary,Coleman,3133269574,0909 Mcpherson Crescent Suite 302,Johnsonfort,MN,Uruguay,205572.23,Individual
10012,Mcconnell-Armstrong,Jeremiah,Knight,702.910.0958,779 Phillips Ridge Apt. 019,Jeremyburgh,NM,Tanzania,15652.62,Enterprise
