customerNumber,customerName,contactFirstName,contactLastName,phone,addressLine1,city,state,country,creditLimit,customerSegment
10000,Gonzalez Inc,Jason,Zuniga,956.652.2457x53617,1215 Melissa Road Suite 977,New Christinehaven,MD,Bangladesh,11068.22,Individual
10001,Alexander-Gordon,Shane,Carroll,252.877.8912,76468 Baker Burgs Apt. 306,New Katherine,OR,Trinidad and Tobago,247960.44,Mid-Market
10002,Allen Ltd,Arthur,Perry,712.316.7109,422 David Road,Port Juan,KS,Australia,240198.76,Enterprise
10003,"Dodson, Ford and Anderson",James,White,001-542-272-2892x146,22282 Hopkins Pines,Lake Steventon,NY,Turks and Caicos Islands,131971.18,Individual
10004,Sullivan Inc,Monica,Lee,537.885.7115,32639 Melanie Parkway Suite 035,South Michaelland,,Wallis and Futuna,60679.17,Enterprise
10005,Peterson LLC,Sarah,Watson,655-753-2244,0791 Jessica Well Suite 494,East Daisy,VA,Mauritius,60726.01,SMB
10006,Merritt-Richardson,Ashley,Sanders,+1-838-477-0483,23161 Jessica Estate Suite 285,Ryantown,WA,Honduras,48337.41,Mid-Market
10007,Le and Sons,Anna,Young,001-299-487-0299x59525,11699 Elliott Manor,Hallbury,RI,India,242648.12,SMB
10008,Smith-Miller,Albert,Anderson,(572)700-4298,6964 Rogers Orchard Apt. 975,West Kristybury,MT,Guinea,93637.28,SMB
10009,Anderson-Duncan,Mike,Burgess,(333)458-6630,287 Kristina Highway,Ortegaville,,Estonia,202536.16,SMB
10010,Rosario-Adams,Maria,Barrera,(610)630-5367x0411,05696 Hughes Fork Apt. 248,Gaymouth,DC,El Salvador,31985.55,Individual
10011,Young Inc,Kenneth,Davis,+1-917-411-8165,73340 Barbara Islands,Port Maureenfurt,AZ,Cocos (Keeling) Islands,195247.82,SMB
10012,Williams-Estrada,Amanda,Reid,5935254772,6455 Mitchell Crescent Apt. 724,New James,MA,Grenada,136780.8,Enterprise
10013,Becker PLC,Brian,Diaz,(918)599-4732,3012 Bryan Mews Suite 560,Jennyfort,,Bermuda,140503.05,Mid-Market
10014,"Collins, Shah and Chang",Taylor,Terry,498.586.1824,6271 Dominguez Shore,Sylviashire,SD,Guam,142598.81,Individual
10015,"Webster, Santana and Vega",Kayla,Powell,001-859-971-0633x67714,7221 Meyers Turnpike Suite 784,Youngborough,NY,Madagascar,166844.92,Individual
10016,"White, Gill and Johnson",Adrienne,Jarvis,361-725-1186,29516 Perkins Lights,Parkerside,MP,Botswana,202980.93,Mid-Market
10017,"Stephens, Hill and Payne",Daniel,Henry,(517)551-7525x0591,729 Cole Forge Suite 340,South Shelbyside,TX,Pitcairn Islands,89521.11,SMB
10018,Nelson-Smith,Robert,Alvarado,4179697938,63589 Joshua Coves,Brownhaven,OR,Christmas Island,134829.81,SMB
10019,Becker-Smith,Vanessa,Norman,(880)359-2340x80433,725 Scott Rue,East Caitlyn,NC,Cyprus,43450.99,SMB
10020,Howell Inc,Kenneth,Roach,890.398.2600x65485,8998 Edwards Centers Suite 484,South Krista,PR,French Guiana,77827.93,Individual
10021,Phillips-Garcia,Charles,Sullivan,001-532-257-1703,10572 Erica Roads Apt. 959,Howardburgh,SD,Saint Barthelemy,171415.8,SMB
10022,"Spencer, Henson and Taylor",Mary,Campbell,(920)572-3594,5150 Henry Meadow,Alexandertown,IL,Slovenia,58219.49,Enterprise
10023,"Smith, Gonzalez and Rowe",Christy,Edwards,(443)312-0025,506 Brenda Stravenue,East Wendytown,AR,Bangladesh,201203.91,Individual
10024,Blevins Ltd,Kim,Morrow,+1-586-697-1305x805,43156 Martinez Orchard,East Anthony,ME,Thailand,43717.33,SMB
10025,Moore-Cohen,Katelyn,Hill,001-766-881-5985x1427,230 Gregory Bypass,Kanefort,,Ghana,48175.15,Mid-Market
10026,Haney Ltd,Andrea,Johnson,465.918.1041x55391,79016 Williams Valleys Suite 129,New Lori,VI,Vanuatu,44596.25,Individual
10027,Ray Inc,Matthew,Hester,001-803-948-0199x624,17724 Garza Plain Apt. 166,Michaelberg,VI,Romania,101209.08,Individual
10028,Golden Ltd,Juan,Bates,001-748-977-2181,243 Le Flats,Catherineburgh,IA,Trinidad and Tobago,13622.51,Individual
10029,Wolfe-Hill,Tina,Parker,300.535.1661,8864 Debbie Keys Apt. 042,Ramirezmouth,GA,Sierra Leone,42100.16,Enterprise
10030,Adams Ltd,Lisa,Webb,001-317-935-8550x72295,74920 Walters Manor,Garciaberg,FM,Peru,197968.14,Individual
10031,Keller-Gray,Monique,Chapman,634-328-0972,600 Bowman Via,Christinemouth,CA,Australia,242452.12,Enterprise
10032,Edwards Inc,Bobby,Brown,(936)239-6290x3422,794 Thomas Trail Apt. 227,Melissaberg,,Mongolia,172366.99,SMB
10033,Christensen-Johnson,Joel,Greene,+1-528-881-2431x88179,90186 Patterson Rapids,New Eric,,Equatorial Guinea,79768.41,Mid-Market
10034,Thompson-Boyd,Ricardo,Brooks,796-429-6638x3670,842 Stephen Freeway Apt. 955,Lake Charles,TN,Seychelles,167128.02,SMB
10035,Short-Carter,Anthony,Case,224-453-3866x7753,70230 Reed Corner,Samuelhaven,DE,Tonga,85314.21,SMB
10036,"Hernandez, Massey and Huang",Matthew,Johnson,+1-863-413-7877x087,17448 Cody Pines,Kristichester,GU,Saint Vincent and the Grenadines,196358.36,Mid-Market
10037,Thomas-Lee,Carrie,Rose,935-666-8263x17312,869 Small Street,Taraland,WA,Uzbekistan,61647.58,Enterprise
10038,Perez and Sons,John,Fuller,001-747-750-1720x2627,444 Hall Motorway Suite 489,Laneshire,ME,Bolivia,184493.52,SMB
